address,category,cost,delivery,direction,history,mainDish,menu,offDay,openTime,parking,reservation,scoreByFoodie,scoreByTaste,surtax,tel,title,url
서울특별시 중구 명동 1가 10-4,서울특별시중구|한식|탕반/찌개,1만원 내외,없음,을지로입구역 5번 출구 외환은핸 본점 뒤,"하동관 - 서울을 대표하는 80여 년 전통의 곰탕 전문점.
 
 1939년 서울 북촌의 양반촌과 궁중음식에 해박한 류창희 할머니의 손맛에서부터 시작해 북촌 반갓집의 기품과 격식이 그대로 배어 있다. 놋그릇에 담긴 맑은 국물의 은은하게 감치는 부드럽고 깊은 맛은 숱한 세월에도 변함이 없다. 고 박정희 대통령은 초도순시를 나갈 때마다 점심으로 배달시켰고 헬기로 제주도까지 하동관 곰탕을 공수해가는 열성 고객이었으며, 고 이병철 회장을 포함 정 재계 유명 인사들 대부분이 하동관을 거쳐간 단골 고객일 정도로 유서 깊은 집이다. 곰탕은 잡뼈를 넣지 않고 오로지 양지와 사태살만 사용해 국물이 맑고 담백하다.
 
 류창희 할머니에서 홍창록 할머니, 1968년부터 지금의 김희영 할머니로 서울의 북촌 할머니 3대를 거치고, 50년 넘게 국솥을 지킨 김 할머니의 세월만큼이나 더 이상 바랄 것 없는 완성도의 맛이 바로 하동관의 맛이다. 하동관의 맛을 지키기 위해 60년이 넘도록 대를 이어 하동관에 소고기를 납품하는 팔판동의 토박이 정육점은 전국의 우시장을 돌며 최고의 암소만을 선별하기로 유명하며, 평범한 무 하나도 반드시 제주산만 사용한다. 이런 변할 수 없는 고집과 한 번도 음식을 남기지 않고 정해진 양만 판매하고 문을 닫는 70여 년 가까운 신뢰 덕분에 예나 지금이나 변함없는 열성 단골들로 붐비고 있다.
 
[  을지로입구 5번 출구 외환은행 본점 뒤 ]도로명 주소 : 서울 중구 명동9길 12",곰탕,"곰탕  (1만3천원), 특곰탕  (1만5천원), 20공곰탕 (2만원), 수육 300g  (3만원~5만원)",매주 일요일· 명절 휴무,07:00~16:30,주차불가,가능,에피큐어평점 [AA],오감평점 [5점],,02-776-5656,하동관 (河東館),http://www.hadongkwan.com/
서울특별시 성북구 성북동 131-85,서울특별시성북구|일식|돈가스,1만원 내외,없음,혜화동 경신고와 서울과학고 사이 언덕길로 직진,"서울왕돈까스 - 추억의 옛날식 돈가스. 
 
 얼굴만 한 크기의 왕돈가스로 유명해진 집이며, 수프와 풋고추, 밥, 깍두기, 미역국이 함께 나오는 전형적인 옛날 한국식 돈가스다. 기교 없는 수프와 과일 향의 소스, 가격 대비 맛과 추억을 경험할 수 있으며, 추가 리필도 가능하다. 자체적으로 특별소스를 개발하여 선보인 바비큐 돈가스도 주목을 끌기에 충분하다. 옛날 경양식집의 돈가스가 그리울 때 찾아볼 만한 추억의 장소로, 주변의 오 박사네 왕돈가스, 금왕 돈가스 모두 비슷한 콘셉트다.
 
[ 혜화동 경신고와 서울과학고 사이 언덕길로 직진 ]도로명 주소 : 서울특별시 성북구 창경궁로35다길 140",돈가스· 생선가스· 함박스테이크· 치즈돈가스,"돈가스 (9천5백원), 생선가스 (1만원), 서울정식, 치즈돈가스(각 1만1천원)",첫째· 셋째 주 일요일· 둘째· 넷째 주 화요일,09:00-24:00,주차가능,가능,에피큐어평점 [없음],오감평점 [0점],,02-766-9370,서울왕돈까스,
서울특별시 성북구 성북동 9,서울특별시성북구|한식|면류,1만원 내외,없음,한성대역 5번 출구 혜화동방면 100미터 우측골목30미터지점 성북1동 파출소 옆,"국시집 - 정재계 인사들이 즐겨 찾는 경상도식 칼국수집.
 
 일명 ""청와대 칼국숫집"", '칼국수계의 최고봉' 등으로 불리며 명동교자와는 또 다른 느낌의 경상도식 칼국수를 선보이는 집으로, 하늘하늘 부드럽고 깔끔한 면발에 양지머리로 우려낸 육수가 특징이다. 매일 정오부터 오후 2시까지 정해진 양만 팔면 영업을 마감하기 때문에 반드시 예약을 하고 방문하는 편이 좋다. 보쌈집에서 파는 일반적인 수육과는 차원이 다른 부드러운 수육을 비롯해 문어숙회, 모듬전도 일품이다. 국시집은 원래 분식집이었으나 1968년 우연히 가게를 방문한 당시 서울시장이 칼국수가 맛있다며, 정식으로 개업할 것을 제안해 1969년 국시집으로 개업했다고 한다.
 
[ 한성대역 5번 출구 혜화동방면 100미터 우측골목30미터지점 성북1동 파출소 옆 ]도로명 주소 : 서울특별시 성북구 창경궁로43길 9",문어· 수육· 국시,"국시 (9천원), 국시곱배기 (1만1천원), 문어 (1만7천원, 2만8원), 수육 (소 1만8천원, 대 3만3원), 모듬전 (1만4천원, 2만2천원)",명절휴무,12:00~14:30/17:30~20:30,주차가능,가능(예약필수),에피큐어평점 [AA],오감평점 [5점],,02-762-1924,국시집,
서울특별시 성북구 성북동 124-3,서울특별시성북구|한식|탕반/찌개,1만원 내외,없음,서울과학고등학교 뒤 오박사네 돈까스 옆,"마전터 - 40여 년 전통의 소고기국밥집.
 
 성북동의 옛 지명 '마전터'를 상호로 사용하는 40여 년 전통의 소고기국밥집이다. 신선하고 질좋은 양지머리와 콩나물을 듬뿍 넣어 시원한 맛이 일품이며 조미료를 넣지 않아 음식 고유의 맛이 살아 있다. 한옥을 개조한 아담하고 편안한 분위기의 밥집이며, 파전이나 녹두전은 놓치기 아까운 별미이다. 예전에 비해 다소 평이 떨어지는 편이다.
 
 마전터는 원래 물이 맑고 경치가 좋으나 땅에 돌이 많아서 농토가 전혀 없고 또한 시장이 멀어서 정착하지 못하고 떠나는 사람이 많이 생기므로 영조4년(1765년)에 서울의 각 시장에서 파는 포목의 마전(광목을 물에 빨아 햇빛으로 표백하는 일)하는 권리를 이곳 사람에게 주어서 생활을 유지하게 하였으니 그로부터 성북동을 마전터라 불러 왔다고 한다.
[ 혜화동로터리&gt; 성북동- 서울과학고등학교 뒤 오박사네 돈까스 옆 ]도로명 주소 : 서울특별시 성북구 혜화로 82-2",소고기국밥· 간장게장,"소고기국밥 (9천원), 추어탕 (8천원), 파전, 녹두전 (각 1만원), 간장게장 (2만5천원), 낙지볶음 (3만원), 보쌈 (3만원, 4만원)",명절휴무,09:00~21:30,주차가능,가능,에피큐어평점 [없음],오감평점 [5점],,02-765-7575,마전터,
서울특별시 성북구 성북동 131-32,서울특별시성북구|일식|돈가스,1만원 내외,없음,혜화역 4번 출구 혜화동 경신고와 서울과학고 사이 언덕길로 직진,"오박사네돈까스 - 성북동 돈까스 원조집.
 
 기사식당으로 시작해 얼굴만한 크기의 돈까스로 유명해진 집이다. 수프와 절인고추, 밥, 깍두기, 미역국이 함께 나오는 전형적인 한국식 돈까스로, 옛날식 기교없는 수프와 가격대비 실속있는 맛과 추억을 경험할 수 있다. 밥과 야채는 리필이 가능하다. 옛날 경양식집의 돈까스가 그리울때 찾아 볼만한 추억의 장소로 추천할 만 하며, 주변의 서울돈까스, 금왕돈까스 모두 비슷한 콘셉트다. 1996년 개업.
 
[ 혜화역 4번 출구 혜화동 경신고와 서울과학고 사이 언덕길로 직진 ]도로명 주소 : 서울특별시 성북구 혜화로 80",돈가스· 생선가스· 치즈돈가스· 오박사정식,"돈가스 (8천원), 생선가스 (8천원), 치즈돈가스 (9천원), 비후가스 (9천원), 오박사정식 (9천원), 함박스테이크 (9천원)",둘째· 넷째 주 일요일· 첫째· 셋째 주 화요일· 명절휴무,08:00-24:00,주차가능,가능,에피큐어평점 [없음],오감평점 [0점],,02-3673-5730,오박사네돈까스,
서울특별시 성북구 성북동 97-24,서울특별시성북구|한식|어패류,5~10만원,없음,혜화동 로터리에서 성북동으로 올라오는 길과 삼선교 전철역에서 올라오는 길이 만나는 곳 쌍다리기사식당 맞은편,"섭지코지 - 자연산 위주의 회와 코스를 내는 제주 향토음식 전문점.
 
 섭지코지는 성산 일출봉 근처의 마을 이름으로, 섭지는 지명이고 코지는 바다쪽으로 툭 튀어나온 곶 지형을 말하는 제주도식 사투리라고 한다. 제주에서 매일 항공편으로 공수해 오는 자연산 회를 함께 즐기는 코스와 식사 메뉴가 있으며, 이름만 들어 본 최고급 횟감인 제주산 다금바리를 맛볼 수 있다. 다금바리(자바리)는 깊은 바다에서 10년은 자라야 성어가 된다고 하여 귀한 대접을 받고 있는데, 서울에서 구문쟁이나 수입 다금바리를 제주산 다금바리로 속여서 파는 데가 많다고 하니 다금바리의 귀한 몸값을 짐작할 수 있다.
 
[ 혜화동 로터리에서 성북동으로 올라오는 길과 삼선교 전철역에서 올라오는 길이 만나는 곳 쌍다리기사식당 맞은편 ]도로명 주소 : 서울특별시 성북구 성북로 118-5",점심코스· 저녁코스,"모둠사시미 (1인 8만8천원), 다금바리 (1인 16만5천원), 자연산전복회 (1인 22만원), 점심코스 (2만7천5백원~4만9천5백원), 저녁코스 (6만5백원), 복탕, 복지리, 민어탕, 민어지리, 갈치구이 (각 3만3천원), 전복죽 (2만2천원)",명절휴무,11:30~22:30,주차가능,가능,에피큐어평점 [A],오감평점 [3점],,02-3673-5600,섭지코지,
서울특별시 성북구 성북동 264,서울특별시성북구|한식|한정식,2~4만원,없음,성북 2동 동사무소  옆 도로변에 성북설렁탕 아래 우측,"국화정원 (菊花정원) - 한식 코스와 간장게장이 유명한 한정식집.
 
 1925년 지어진 전통 고택을 개조한 운치있고 고풍스런 인테리어가 인상적인 조용한 분위기의 한정식집이다. 정갈하고 깔끔한 상차림에 반찬 하나 하나 모두 맛있고, 사전에 미리 예약하면 전복요리와 일품 모듬 생선회도 가능하다고 한다. 코스가 아닌 단품 메뉴도 괜찮은 편인데, 그냥 먹어도 짜지 않고 달큰한 간장게장은 유명 간장게장집과 견주어도 전혀 손색이 없는 훌륭한 맛이다.
 
[ 성북 2동 동사무소  옆 도로변에 성북설렁탕 아래 우측 ]도로명 주소 : 서울특별시 성북구 성북로 154",,"점심정식 (2만9천원), 저녁정식 (3만9천원~12만원), 간장게장 (3만9천원)",명절휴무,12:00~22:00,주차가능,가능,에피큐어평점 [A],오감평점 [0점],,02-741-0020,국화정원 (菊花정원),
서울특별시 성북구 성북동 124-11,서울특별시성북구|한식|면류,1만원 내외,없음,혜화역 4번 출구 혜화동로터리>> 성북동- 서울과학고등학교 뒤 오박사네 돈까스 옆,"우리밀국시 - 정갈하고 담백한 맛이 특징인 안동식 밀국시를 즐길 수 있는 곳.
 
 '까다로운 솜씨로 만든 정갈한 칼국시 맛'으로 30여 년 꾸준한 사랑을 받아 온 안동식 밀국시집이다. 실크 감촉같이 부드러우면서 식감이 살아있는 면발에 정갈하고 담백한 맛이 특징인 안동식 밀국시를 제대로 맛볼 수 있다. 이 집의 밀국시는 안동의 양반들이 즐겨먹던 경상도식 국수로 일반 칼국수보다 면발이 가는 것이 특징이며, 진한 국물에 깔끔하고 군더더기 없는 얌전한 스타일이다. 동동주와 함께 대구전, 수육, 문어숙회도 인기가 있으며, 설렁탕도 기본 이상을 보여 주고 있다.
 
[ 혜화역 4번 출구 혜화동로터리에서 성북동 방향, 서울과학고등학교 뒤 오박사네 돈까스 옆 ]
 
도로명 주소 : 서울특별시 성북구 혜화로 84-2",우리밀국시· 수육· 문어숙회,"칼국수, 설렁탕 (각 9천원), 감자전 (1만2천원), 생선전 (소 1만5천원, 대 2만원), 수육, 문어, 반반수육 (각 3만5천원)",명절휴무,09:00~22:00,주차가능,가능,에피큐어평점 [없음],오감평점 [4점],,02-745-3764,우리밀국시,
서울특별시 성북구 성북동 114-2,서울특별시성북구|한식|육류,1만원 내외,없음,혜화동 로터리에서 성북동으로 올라오는 길과 삼선교 전철역에서 올라오는 길이 만나는 곳 쌍다리기사식당 근처,"성북동돼지갈비집 - 40여 년 전통의 기사식 돼지갈비집.
 
 돼지갈비와 삼겹살을 반반씩 연탄불에 구워 편하게 '반반'이라 부르는 메뉴가 인기인 기사식 돼지갈비집으로, 연탄불 향이 밴 고기 맛이 일품이다. 반반이 아닌 원하는 메뉴를 따로 주문해도 되는데, 곁들여 나오는 조개젓을 쌈에 올려 먹으면 별미다. 쌍다리식당이 삽겹살이라면 이 집은 돼지갈비 백반이 더 인기이며, 비교적 나이드신 분들이 많이 찾는다. 1975년 개업.
[ 혜화동 로터리에서 성북동으로 올라오는 길과 삼선교 전철역에서 올라오는 길이 만나는 곳 쌍다리기사식당 근처 ]도로명 주소 : 서울특별시 성북구 성북로 115",돼지갈비백반· 돼비주물럭백반· 돼비불고기백반,"불고기백반, 떡갈비, 떡갈비+불고기백반 (각 8천원), 갈비백반 (8천5백원)",매월 첫째· 셋째 주 일요일 휴무,09:00~21:30,주차가능,가능,에피큐어평점 [없음],오감평점 [0점],,02-764-2420,성북동돼지갈비집,
서울특별시 성북구 성북동 256-1,서울특별시성북구|일식|돈가스,1만원 내외,없음,성북 2동 동사무소 바로 옆 도로변에 위치,"금왕돈까스 - 수프와 김치 또는 깍두기가 함께 나오는 한국식 돈가스.
 
 기사식당에서 출발해 이제는 누구나 아는 성북동의 명소가 된 돈가스집으로, 수프와 김치 또는 깍두기가 함께 나오는 옛날 한국식 돈가스를 맛볼 수 있다. 돈가스 크기나 양도 만족하지만, 특히 소스 맛이 일품이다. 전문 일식집들이 돈가스에서도 강한 편이라 최고의 맛은 아니지만 그래도 이 정도면 흔하지 않게 만족할 수 있는 집이다. 작은 앞마당이 있어 아이들과 외식하기에 특히 좋다. 옛날 경양식집의 돈가스가 그리울 때 찾아볼 만한 추억의 장소로, 주변의 서울돈가스, 오박사네 모두 비슷한 콘셉트다.
 
[ 성북 2동 동사무소 바로 옆 도로변에 위치 ]
 
도로명 주소 : 서울특별시 성북구 성북로 136",금왕정식· 안심가스· 등심가스· 생선가스,"돈가스, 치킨가스, 함박스테이크 (각 1만원), 안심돈가스 (1만1천원)",매주 월요일 휴무,10:30-21:00,주차가능,가능,에피큐어평점 [A],오감평점 [3점],,02-764-2691,금왕돈까스,
